Дата;Температура;Атмосферное давление;Облачность;Осадки;Количество осадков
3.11.2021;0;760;Переменная облачность;Дождь со снегом;10.0
11.11.2021;0;730;Ясно;Нет;0.0
13.11.2021;0;760;Облачно;Снег;0.0
14.11.2021;0;760;Облачно;Дождь со снегом;15.0
18.11.2021;0;760;Переменная облачность;Снег;15.0
23.11.2021;10;760;Переменная облачность;Дождь со снегом;10.0
24.11.2021;15;760;Переменная облачность;Дождь со снегом;15.0
25.11.2021;20;760;Переменная облачность;Дождь со снегом;20.0
26.11.2021;0;750;Ясно;Нет;0.0
30.11.2021;13;760;Ясно;Нет;0.0
